Geography,Geographic Area Name,Total
0500000US13249,"Schley County, Georgia",5215
0500000US13251,"Screven County, Georgia",13521
0500000US13253,"Seminole County, Georgia",8106
0500000US13255,"Spalding County, Georgia",64769
0500000US13257,"Stephens County, Georgia",24976
0500000US13259,"Stewart County, Georgia",4204
0500000US13261,"Sumter County, Georgia",27659
0500000US13263,"Talbot County, Georgia",6209
0500000US13265,"Taliaferro County, Georgia",1596
0500000US13267,"Tattnall County, Georgia",19253
0500000US13269,"Taylor County, Georgia",7952
0500000US13271,"Telfair County, Georgia",12605
0500000US13273,"Terrell County, Georgia",8318
0500000US13275,"Thomas County, Georgia",43803
0500000US13277,"Tift County, Georgia",38367
0500000US13279,"Toombs County, Georgia",26466
0500000US13281,"Towns County, Georgia",10944
0500000US13283,"Treutlen County, Georgia",6400
0500000US13285,"Troup County, Georgia",68363
0500000US13287,"Turner County, Georgia",7609
0500000US13289,"Twiggs County, Georgia",8140
0500000US13291,"Union County, Georgia",23388
0500000US13293,"Upson County, Georgia",25446
0500000US13295,"Walker County, Georgia",67773
0500000US13297,"Walton County, Georgia",92082
0500000US13299,"Ware County, Georgia",33075
0500000US13301,"Warren County, Georgia",5187
0500000US13303,"Washington County, Georgia",18323
0500000US13305,"Wayne County, Georgia",27782
0500000US13307,"Webster County, Georgia",2583
0500000US13309,"Wheeler County, Georgia",7702
0500000US13311,"White County, Georgia",29398
0500000US13313,"Whitfield County, Georgia",102656
0500000US13315,"Wilcox County, Georgia",6665
0500000US13317,"Wilkes County, Georgia",9639
0500000US13319,"Wilkinson County, Georgia",8811
0500000US13321,"Worth County, Georgia",20030
0500000US15001,"Hawaii County, Hawaii",198266
0500000US15003,"Honolulu County, Hawaii",947267
0500000US15005,"Kalawao County, Hawaii",430
0500000US15007,"Kauai County, Hawaii",71165
0500000US15009,"Maui County, Hawaii",164449
0500000US16001,"Ada County, Idaho",461994
0500000US16003,"Adams County, Idaho",4166
0500000US16005,"Bannock County, Idaho",82094
0500000US16007,"Bear Lake County, Idaho",5986
0500000US16009,"Benewah County, Idaho",9094
0500000US16011,"Bingham County, Idaho",45610
0500000US16013,"Blaine County, Idaho",22691
0500000US16015,"Boise County, Idaho",7604
0500000US16017,"Bonner County, Idaho",44244
0500000US16019,"Bonneville County, Idaho",115790
0500000US16021,"Boundary County, Idaho",12041
0500000US16023,"Butte County, Idaho",2562
0500000US16025,"Camas County, Idaho",1069
0500000US16027,"Canyon County, Idaho",220528
0500000US16029,"Caribou County, Idaho",6944
0500000US16031,"Cassia County, Idaho",23542
0500000US16033,"Clark County, Idaho",885
0500000US16035,"Clearwater County, Idaho",7816
0500000US16037,"Custer County, Idaho",4159
0500000US16039,"Elmore County, Idaho",26143
0500000US16041,"Franklin County, Idaho",13695
0500000US16043,"Fremont County, Idaho",12532
0500000US16045,"Gem County, Idaho",17484
0500000US16047,"Gooding County, Idaho",15169
0500000US16049,"Idaho County, Idaho",15909
0500000US16051,"Jefferson County, Idaho",29186
0500000US16053,"Jerome County, Idaho",23865
0500000US16055,"Kootenai County, Idaho",159682
0500000US16057,"Latah County, Idaho",36860
0500000US16059,"Lemhi County, Idaho",7804
0500000US16061,"Lewis County, Idaho",3817
0500000US16063,"Lincoln County, Idaho",5289
0500000US16065,"Madison County, Idaho",39344
0500000US16067,"Minidoka County, Idaho",20652
0500000US16069,"Nez Perce County, Idaho",39476
0500000US16071,"Oneida County, Idaho",4401
0500000US16073,"Owyhee County, Idaho",11576
0500000US16075,"Payette County, Idaho",23373
0500000US16077,"Power County, Idaho",7592
0500000US16079,"Shoshone County, Idaho",12470
0500000US16081,"Teton County, Idaho",11748
0500000US16083,"Twin Falls County, Idaho",85103
0500000US16085,"Valley County, Idaho",10957
0500000US16087,"Washington County, Idaho",10026
0500000US17001,"Adams County, Illinois",64256
0500000US17003,"Alexander County, Illinois",5885
0500000US17005,"Bond County, Illinois",14730
0500000US17007,"Boone County, Illinois",52743
0500000US17009,"Brown County, Illinois",4713
0500000US17011,"Bureau County, Illinois",32318
0500000US17013,"Calhoun County, Illinois",4667
0500000US17015,"Carroll County, Illinois",13733
0500000US17017,"Cass County, Illinois",12174
0500000US17019,"Champaign County, Illinois",194472
0500000US17021,"Christian County, Illinois",31002
0500000US17023,"Clark County, Illinois",15325
0500000US17025,"Clay County, Illinois",12959
0500000US17027,"Clinton County, Illinois",35420
0500000US17029,"Coles County, Illinois",47407
0500000US17031,"Cook County, Illinois",5082060
0500000US17033,"Crawford County, Illinois",16453
0500000US17035,"Cumberland County, Illinois",10616
0500000US17037,"DeKalb County, Illinois",99964
0500000US17039,"De Witt County, Illinois",15426
0500000US17041,"Douglas County, Illinois",19187
0500000US17043,"DuPage County, Illinois",913236
0500000US17045,"Edgar County, Illinois",16959
0500000US17047,"Edwards County, Illinois",6308
0500000US17049,"Effingham County, Illinois",33574
0500000US17051,"Fayette County, Illinois",19808
0500000US17053,"Ford County, Illinois",12736
0500000US17055,"Franklin County, Illinois",37901
0500000US17057,"Fulton County, Illinois",32082
0500000US17059,"Gallatin County, Illinois",4973
0500000US17061,"Greene County, Illinois",12677
0500000US17063,"Grundy County, Illinois",50158
